HELL LET LOOSE,FPS,BLACK MATTER,2019,PC,XBOX S/X,PS5
LEAGUE OF LEGENDS,MOBA,RIOT GAMES,2009,PC,.,.
ELDEN RING,RPG,FROMSOFTWARE,2022,PC,PS5,XBOX
BATTLEFIELD 3,FPS,DICE,2011,PC,XBOX,PS3
BACK 4 BLOOD,FPS,TURTLE ROCK STUDIOS,2021,PC,XBOX,PS5
RESIDENT EVIL 4,HORROR,CAPCOM,2005,PS5,XBOX,PC
HUNT SHOWDOWN,FPS,CRYTEK,2019,PC,XBOX ONE,PS4
INSURGENCY SANDSTORM,FPS,NEW WORLD INTERACTIVE,2018,PC,XBOX S/X,PS5
METRO EXODUS,FPS,4A GAMES,2019,PC,XBOX S/X,PS5
DOOM,FPS,ID SOFTWARE,2016,PC,XBOX ONE,PS4
DOOM ETERNAL,FPS,ID SOFTWARE,2020,PC,XBOX S/X,PS5
DEAD SPACE,HORROR,EA REDWOOD SHORES,2008,PC,XBOX 360,PS3
DEAD SPACE 2,HORROR,VISCERAL GAMES,2011,PC,XBOX 360,PS3
THE EVIL WITHIN,HORROR,TANGO GAMEWORKS,2014,PC,XBOX ONE,PS4
THE EVIL WITHIN 2,HORROR,TANGO GAMEWORKS,2017,PC,XBOX ONE,PS4
HITMAN ABSOLUTION,STEALTH,IO INTERACTIVE,2012,PC,XBOX ONE,PS4
RESIDENT EVIL 7 BIOHAZARD,HORROR,CAPCOM,2017,PC,XBOX S/X,PS5
RESIDENT EVIL VILLAGE,HORROR,CAPCOM,2021,PC,XBOX S/X,PS5
BROTHERS IN ARMS HELL'S HIGHWAY,FPS,GEARBOX SOFTWARE,2008,PC,XBOX 360,PS3
DARKSIDERS,HACK AND SLASH,VIGIL GAMES,2010,PC,XBOX ONE,PS4
LEGACY OF KAIN SOUL REAVER,ACTION-ADVENTURE,CRYSTAL DYNAMICS,1999,PC,PS,DREAMCAST
SYPHON FILTER,STEALTH,EIDETIC,1999,PS,.,.
GOD OF WAR,HACK AND SLASH,SANTA MONICA STUDIO,2005,PS2,.,.
GOD OF WAR 2,HACK AND SLASH,SANTA MONICA STUDIO,2007,PS2,.,.
GOD OF WAR 3,HACK AND SLASH,SANTA MONICA STUDIO,2010,PS3,PS4,.
DEVIL MAY CRY,HACK AND SLASH,CAPCOM PRODUCTION STUDIO 4,2001,PC,XBOX ONE,PS4
DEVIL MAY CRY 5,HACK AND SLASH,CAPCOM,2019,PC,XBOX S/X,PS5
FORZA HORIZON 5,RACING,PLAYGROUND GAMES,2021,PC,XBOX S/X,.
RED DEAD REDEMPTION 2,ACTION,ROCKSTAR STUDIOS,2018,PC,PS5,XBOX S/X
STAR WARS BATTLEFRONT 2,FPS,DICE,2017,PC,XBOX ONE,PS4
MINECRAFT,SANDBOX,MOJANG,2009,PC,XBOX ONE,PS4
BATTLEFIELD 2042,FPS,DICE,2021,PC,XBOX S/X,PS5
FINAL FANTASY XV,JRPG,SQUARE ENIX,2016,PC,XBOX ONE,PS4
WOLFENSTEIN THE NEW ORDER,FPS,MACHINEGAMES,2014,PC,XBOX ONE,PS4
BATTLEFIELD BAD COMPANY 2,FPS,DICE,2010,PC,XBOX 360,PS3
BLOODBORNE,RPG,FROMSOFTWARE,2015,PS4,.,.
IT TAKES TWO,CO-OP,EA,2021,PS5,PC,XBOX S/X
BAYONETTA,ACTION,PLATINUMGAMES,2009,PS3,XBOX 360,PC
DAYS GONE,ACTION,SIE BEND STUDIO,2019,PS4,PC,.
CASTLEVANIA LORD OF SHADOW,ACTION,MERCURYSTEAM,2010,PS3,XBOX 360,PC
